Date,Open,High,Low,Close,Volume,Market Cap
26-12-2023,43033.57,43725.61,42764,43613.88,27508254037,8.48E+11
25-12-2023,43687.93,43927.88,42850.2,43017.9,20957937915,8.54E+11
24-12-2023,43975.78,43975.78,43351.06,43727.32,26869962875,8.55E+11
23-12-2023,43846.04,44358.59,43429.95,43948.89,35915195711,8.57E+11
22-12-2023,43637.62,44206.01,43296.11,43849.41,41877316815,8.56E+11
21-12-2023,42269.85,44279.96,42225.37,43645.95,36568319532,8.45E+11
20-12-2023,42619.05,43314.73,41846.62,42300.16,40146496148,8.36E+11
19-12-2023,41430.58,42714.97,40660.03,42666.06,33206375855,8.10E+11
18-12-2023,42282.96,42418.39,41298.47,41448.75,24395333766,8.21E+11
17-12-2023,41981.1,42697.9,41725.94,42244.61,29560084615,8.28E+11
16-12-2023,42961.53,43078.69,41742.32,41953.42,38104663006,8.31E+11
15-12-2023,42832.03,43357.6,41938.38,43004.17,42926037867,8.38E+11
14-12-2023,41427.04,43354.3,40693.86,42906.87,38015896252,8.14E+11
13-12-2023,41233.99,42045.96,40700.59,41512.61,49053492392,8.13E+11
12-12-2023,43795.02,43804.42,40375.19,41221.12,43928078511,8.20E+11
11-12-2023,43740.05,44032.99,43610.02,43762.68,25488738148,8.57E+11
10-12-2023,44228.39,44344.36,43629.98,43701.25,34921098824,8.61E+11
09-12-2023,43349.04,44614.01,43129.99,44199.33,39721599933,8.54E+11
08-12-2023,43715.38,44045.95,43011.1,43249.99,41066694506,8.52E+11
07-12-2023,44093.22,44269.99,43454,43714.53,58528532348,8.58E+11
06-12-2023,41829.46,44413.99,41437.9,44085.68,49546230774,8.29E+11
05-12-2023,39996.28,42386.31,39996.28,41995.8,45256074426,8.10E+11
04-12-2023,39434.47,40108.54,39288.24,39941.07,26273103178,7.74E+11
03-12-2023,38701.97,39652.7,38641.63,39460,28316481430,7.61E+11
02-12-2023,37688.39,38959.11,37624.65,38658.06,29151216401,7.51E+11
01-12-2023,37854.66,38143.94,37530.89,37715.02,28133746903,7.39E+11
30-11-2023,37832.67,38345.98,37623.01,37808.01,68380861882,7.42E+11
29-11-2023,37241.07,38273.7,36896.17,37776.89,75091400151,7.32E+11
28-11-2023,37451.29,37547.98,36754.04,37268.83,61605209279,7.27E+11
27-11-2023,37777.78,37814.65,37178.74,37478.11,37743660123,7.35E+11
26-11-2023,37705.65,37868.05,37598.72,37785.84,69847001048,7.38E+11
25-11-2023,37317.25,38378.84,37262.01,37710.8,63986552220,7.36E+11
24-11-2023,37442.59,37635.03,36912.95,37294.4,81193828612,7.30E+11
23-11-2023,35855.61,37799.92,35855.61,37448.77,1.06E+11,7.17E+11
22-11-2023,37447.07,37602.23,35942.19,35942.19,84336682277,7.26E+11
21-11-2023,37280.92,37715.45,36907.91,37465.89,60386651680,7.29E+11
20-11-2023,36540.04,37480.34,36400.01,37388.51,40315796738,7.16E+11
19-11-2023,36559.84,36807.23,36228.17,36559.41,65134167064,7.13E+11
18-11-2023,36138.01,36671.18,35941.81,36514.01,89418490633,7.11E+11
17-11-2023,37815.47,37869.84,35547.05,36223.54,1.01E+11,7.22E+11
16-11-2023,35578,37863.66,35390.38,37863.66,87035457584,7.08E+11
15-11-2023,36441.37,36733.34,35150.03,35540.04,73108318930,7.08E+11
14-11-2023,37026.56,37337.76,36414.24,36531.68,52392523298,7.20E+11
13-11-2023,37142.19,37206.05,36754.31,37035.03,51889143951,7.24E+11
12-11-2023,37326.84,37396.29,36788.62,37082.17,76649917042,7.24E+11
11-11-2023,36657.35,37445.02,36389.43,37321.14,1.22E+11,7.22E+11
10-11-2023,35586.65,37896.08,35586.65,36775.23,1.08E+11,7.15E+11
09-11-2023,35338.35,35899.37,35161.17,35680.29,74255766024,6.91E+11
08-11-2023,35004.43,35853.1,34567.74,35423.24,60287777345,6.83E+11
07-11-2023,34939.54,35276.36,34738.19,35019.43,63182615986,6.84E+11
06-11-2023,35070.6,35311.03,34604.42,35022.44,43111567923,6.84E+11
05-11-2023,34694.69,35208.5,34593.44,35019.68,55912922809,6.79E+11
04-11-2023,34849.98,34867.65,34130.74,34730.03,79360142055,6.74E+11
03-11-2023,35478.24,35882.72,34455.34,34918.05,99061453438,6.87E+11
02-11-2023,34600.02,35517.42,34191.59,35428.26,69974470365,6.76E+11
01-11-2023,34465.02,34664.97,34089.59,34650.03,63697328622,6.72E+11
31-10-2023,34545.59,34826.34,34081.95,34486.77,52572067459,6.73E+11
30-10-2023,34068.78,34716.85,33958.65,34535.58,36743494354,6.70E+11
29-10-2023,33899.7,34389.96,33862.69,34088.4,54928203161,6.66E+11
28-10-2023,34132.8,34245,33439.18,33910.02,68520266881,6.63E+11
27-10-2023,34467.34,34800.64,33770.04,34148.86,86004860587,6.70E+11
26-10-2023,33948.12,35096.27,33786,34464.23,1.21E+11,6.70E+11
25-10-2023,33021.38,34986.96,32879.2,33856,1.74E+11,6.66E+11
24-10-2023,29952.62,34063.21,29892.17,32941.46,59376973056,6.03E+11
23-10-2023,29913.01,30162.17,29747.9,29965.01,42859941685,5.84E+11
22-10-2023,29672.96,30205.02,29470.81,29894.16,54188231359,5.82E+11
21-10-2023,28763.53,30023.31,28594.81,29665.02,64835791915,5.74E+11
20-10-2023,28302.91,28865.26,28183.07,28695.97,43606417379,5.56E+11
19-10-2023,28406.01,28794.04,28190.5,28322.73,52108311112,5.54E+11
18-10-2023,28536.36,28596.46,28117.74,28407.42,75277298263,5.54E+11
17-10-2023,27164.23,29291.74,27124.05,28502.1,46487143214,5.45E+11
16-10-2023,26842.3,27271.37,26823.21,27146.62,20890044293,5.26E+11
15-10-2023,26881.55,26968.05,26807.54,26858.7,29474797698,5.25E+11
14-10-2023,26758.71,27055.95,26697.05,26841.72,29005741821,5.23E+11
13-10-2023,26849.32,26928.73,26577.4,26738.45,27187051910,5.22E+11
12-10-2023,27400.04,27467.7,26548.13,26844.46,26206821938,5.27E+11
11-10-2023,27591.37,27707.75,27302.72,27390.34,25717020567,5.37E+11
10-10-2023,27906.04,27974.95,27299.96,27584.1,23162221741,5.40E+11
09-10-2023,27950.75,28094.99,27737.73,27932.44,16816628313,5.45E+11
08-10-2023,27939.87,28013.81,27865,27958.62,26081234633,5.45E+11
07-10-2023,27420.43,28224.97,27247.64,27933,24249305970,5.40E+11
06-10-2023,27749.66,28071.45,27374.37,27422.6,19693371258,5.39E+11
05-10-2023,27405.35,27819.83,27255.35,27778.6,22153099358,5.37E+11
04-10-2023,27513.68,27663.53,27254.73,27419.23,31228837511,5.36E+11
03-10-2023,27982.93,28478.97,27374.23,27609.13,31556714893,5.47E+11
02-10-2023,26965.84,27993.9,26965.84,27978.1,18834295111,5.30E+11
01-10-2023,26895.47,27080.82,26886.87,26967.11,21765258279,5.26E+11
30-09-2023,27013.74,27229.29,26702.95,26910.69,33595256890,5.26E+11
29-09-2023,26366.19,27234.96,26330.72,27020.31,28979101346,5.20E+11
28-09-2023,26235.67,26808.54,26172.5,26368.04,28485739288,5.13E+11
27-09-2023,26293.9,26386.51,26124.07,26217.38,30793296616,5.12E+11
26-09-2023,26223.37,26419.98,26029.07,26308.45,29759042169,5.11E+11
25-09-2023,26571.4,26708.73,26238.82,26254.11,20548928650,5.18E+11
24-09-2023,26592.76,26632.75,26524.9,26580.66,27465513244,5.18E+11
23-09-2023,26580.8,26732.63,26497.45,26577.61,32745683014,5.19E+11
22-09-2023,27104.31,27138.3,26417.87,26556.98,34684325792,5.22E+11
21-09-2023,27196.99,27345.79,26841.64,27121.84,35657928369,5.29E+11
20-09-2023,26770.64,27461.08,26676.36,27211.2,35848522395,5.27E+11
19-09-2023,26534.11,27395.71,26414.75,26738.74,27461086539,5.23E+11
18-09-2023,26557.8,26610.11,26430.05,26531.4,21151131215,5.17E+11
17-09-2023,26576.54,26721.89,26463.28,26553.13,27371230964,5.18E+11
16-09-2023,26512.72,26809.85,26239.05,26627.69,35369301273,5.16E+11
15-09-2023,26201.61,26730.83,26167.49,26528.22,36195596211,5.15E+11
14-09-2023,25798.88,26374.39,25798.88,26222.02,37760670449,5.08E+11
13-09-2023,25162.48,26414.35,25134.82,25854.29,42863617998,5.04E+11
12-09-2023,25843.59,25892.75,25003.54,25143.63,29821634798,4.97E+11
11-09-2023,25893.9,25972.62,25664.19,25841.65,21351249274,5.03E+11
10-09-2023,25903.21,25913.72,25817.18,25893.13,24509577296,5.04E+11
09-09-2023,26234.64,26382.02,25725.47,25910.51,33856960594,5.07E+11
08-09-2023,25757.98,26404.77,25623.99,26200.96,32362373416,5.03E+11
07-09-2023,25773.01,25902.13,25491.64,25771.63,30947188270,5.01E+11
06-09-2023,25832.11,25839.59,25573.33,25788.7,30720033818,5.01E+11
05-09-2023,25958.07,26051.36,25677.71,25824.15,25984900685,5.04E+11
04-09-2023,25859.24,26057.27,25830.07,25980.6,24824356901,5.05E+11
03-09-2023,25795.04,25945.99,25760.02,25856.93,35643936181,5.03E+11
02-09-2023,25966.92,26131.86,25400.9,25816.57,44381276628,5.04E+11
01-09-2023,27290.07,27442.53,25827.45,25936.45,37306378264,5.23E+11
31-08-2023,27724.97,27740.45,27084.15,27316.23,51356764797,5.32E+11
30-08-2023,26110,28005.42,25923.02,27718.23,40367977010,5.20E+11
29-08-2023,26065.04,26184.91,25898.04,26127.89,27623762836,5.07E+11
28-08-2023,26007.35,26170.03,25977.71,26088.38,21532031675,5.07E+11
27-08-2023,26054.64,26097.73,26000.22,26021.02,28227357839,5.07E+11
26-08-2023,26180.1,26237.92,25833.57,26058.22,34086837916,5.07E+11
25-08-2023,26450.06,26556.64,25964.98,26141.53,48811251332,5.12E+11
24-08-2023,26122.54,26778.01,25805.06,26417.4,49299893696,5.09E+11
23-08-2023,26134.05,26134.05,25593.79,26048.09,42755234002,5.06E+11
22-08-2023,26182.79,26201.86,25879.48,26123.45,38978466982,5.07E+11
21-08-2023,26085.18,26267.33,26002.03,26180,36240475699,5.08E+11
20-08-2023,26069.23,26253.26,25814.25,26090.63,47696260016,5.06E+11
19-08-2023,26659.85,26784.23,25721.53,26058.26,70328308014,5.12E+11
18-08-2023,28764.02,28768.44,25458.37,26610.04,48286038556,5.48E+11
17-08-2023,29201.98,29257.43,28736.49,28736.49,39558686299,5.66E+11
16-08-2023,29421.04,29454.28,29121.17,29200.8,43362507940,5.71E+11
15-08-2023,29295.94,29686.03,29162.07,29430.95,38918523577,5.72E+11
14-08-2023,29430.17,29466.51,29281.72,29285.11,30169752352,5.72E+11
13-08-2023,29420.67,29475.29,29353.95,29430.07,30429006968,5.72E+11
12-08-2023,29452.84,29542.01,29291.04,29426.01,35067135078,5.72E+11
11-08-2023,29576.05,29709.96,29379.58,29455.74,42737898229,5.74E+11
10-08-2023,29814.01,30071.63,29414.98,29596.9,47823578428,5.78E+11
09-08-2023,29214.05,30127.05,29128.81,29766.72,46312637280,5.73E+11
08-08-2023,29088.91,29276.77,28781.8,29206.01,39705097885,5.66E+11
07-08-2023,29065.05,29199.94,28980.12,29086.65,38738893401,5.65E+11
06-08-2023,29118.39,29142.06,28987.39,29074.55,37897861598,5.65E+11
05-08-2023,29215.74,29309.66,28926.04,29113.38,43122763841,5.67E+11
04-08-2023,29167.71,29398.24,29016.2,29198.33,49249971061,5.68E+11
03-08-2023,29760.35,29989.7,29011.99,29151.7,57837023392,5.73E+11
02-08-2023,29226.01,29629.24,28778.21,29629.24,41499233831,5.64E+11
01-08-2023,29285.32,29496.64,29134.91,29225.93,34497810903,5.70E+11
31-07-2023,29355.01,29442.05,29105.61,29273.9,26519665874,5.70E+11
30-07-2023,29305.34,29397.16,29264.46,29356.22,33480505008,5.70E+11
29-07-2023,29214.02,29510.07,29126.05,29318.62,40631371235,5.69E+11
28-07-2023,29337.96,29555.75,29100.73,29209.65,40366670814,5.71E+11
27-07-2023,29217.21,29661.48,29131.02,29349.52,36677303934,5.69E+11
26-07-2023,29177.63,29330.03,29053.27,29242.03,46056116721,5.67E+11
25-07-2023,30076.96,30087.98,28945.6,29186.08,46554488762,5.72E+11
24-07-2023,29782.33,30293.98,29747.48,30060.75,36615107579,5.82E+11
23-07-2023,29907.93,29983.83,29666.39,29747.98,38391831713,5.81E+11
22-07-2023,29799.99,30033.23,29739.3,29907.92,47527716982,5.80E+11
21-07-2023,29921.32,30402.45,29666.01,29796.85,47924555365,5.83E+11
20-07-2023,29864.97,30186.26,29824.37,29932.56,49142176446,5.82E+11
19-07-2023,30130.04,30222.53,29690.01,29845.47,52349730309,5.82E+11
18-07-2023,30199.96,30326.33,29688.98,30158.01,41607830073,5.86E+11
17-07-2023,30288.03,30428.06,30119.99,30221.07,36802215520,5.88E+11
16-07-2023,30295.4,30367.38,30256.05,30275.68,56381590030,5.89E+11
15-07-2023,31440.82,31524.82,29921.99,30305.65,70771632248,6.02E+11
14-07-2023,30388.02,31706.1,30266.65,31446.3,55117501686,5.97E+11
13-07-2023,30612.86,30854.05,30246.39,30383.85,49177120674,5.94E+11
12-07-2023,30410.56,30744.04,30367.87,30621.56,55097654261,5.93E+11
11-07-2023,30137.37,30974.05,30017.17,30398.1,37048926818,5.88E+11
10-07-2023,30274.8,30388.05,30085.13,30164.49,30975023471,5.88E+11
09-07-2023,30319.98,30372.48,30056.53,30269.02,37154842096,5.87E+11
08-07-2023,29826.18,30410.86,29826.18,30320.04,56117680444,5.86E+11
07-07-2023,30484.82,31383.97,29949.46,29970.05,51045730108,5.92E+11
06-07-2023,30789.19,30871.37,30223.32,30502.92,40598393897,5.94E+11
05-07-2023,31143.22,31319.97,30679.97,30771.96,47302025077,6.02E+11
04-07-2023,30625.27,31332.23,30581.51,31154.04,48705862272,5.99E+11
03-07-2023,30583.43,30763.31,30263.48,30623.76,40407535280,5.93E+11
02-07-2023,30493.64,30633.95,30337.18,30589.05,60759762788,5.92E+11
01-07-2023,30449.99,31207.96,29868.71,30492.03,62663603232,5.94E+11
30-06-2023,30091.21,30774.94,30080.02,30459.1,50991347120,5.90E+11
29-06-2023,30674.48,30674.48,29992.58,30084.01,53568622882,5.88E+11
28-06-2023,30258,30967.27,30238.02,30709.78,55144418894,5.93E+11
27-06-2023,30441.38,30637.24,30010.62,30273.8,50561217943,5.88E+11
26-06-2023,30529.28,31039.74,30311.24,30457.7,63177332761,5.94E+11
25-06-2023,30638.68,30787,30313.99,30540.55,62026311444,5.94E+11
24-06-2023,29918.02,31392.97,29853.89,30605.59,59648310842,5.89E+11
23-06-2023,29999.68,30474.35,29672.52,29903.56,68746218089,5.84E+11
22-06-2023,28278.24,30658.07,28260.92,30059.71,72964353004,5.69E+11
21-06-2023,26805.47,28371.02,26669.03,28371.02,57489472505,5.28E+11
20-06-2023,26351.21,26968.04,26327.58,26781.82,50505750911,5.14E+11
19-06-2023,26520.55,26650.68,26339.43,26339.43,44237523926,5.14E+11
18-06-2023,26340.38,26761.39,26195.36,26520.01,48885878126,5.14E+11
17-06-2023,25545.43,26446.78,25346.71,26342.59,46697367932,5.00E+11
16-06-2023,25096.31,25709.31,24876.67,25585.43,54695847496,4.87E+11
15-06-2023,25943.91,26046.27,24878.78,25119.91,41548767107,5.01E+11
14-06-2023,25910.04,26300.08,25760.04,25910.03,33770937720,5.04E+11
13-06-2023,25922.89,26081.61,25662.95,25887.59,30188773017,5.02E+11
12-06-2023,25820.23,26147.84,25676.59,25920.86,32994854567,5.01E+11
11-06-2023,26481.47,26500.5,25491.91,25842.84,35864789304,5.01E+11
10-06-2023,26509.38,26766.28,26325.91,26489.46,28798699485,5.14E+11
09-06-2023,26341.33,26762.75,26235.14,26493.46,37975777739,5.13E+11
08-06-2023,27205.09,27316.85,26141.01,26359.59,53734954107,5.17E+11
07-06-2023,25732.42,27278.06,25438.67,27200.04,65278167723,5.06E+11
06-06-2023,27092.18,27123.39,25447.67,25730.52,32904540501,5.13E+11
05-06-2023,27063.05,27384.43,26978.5,27104.41,20017026588,5.27E+11
04-06-2023,27220.07,27312.03,26953.53,27060.8,25336732420,5.26E+11
03-06-2023,26809.55,27282.22,26613.13,27232.85,35074637746,5.25E+11
02-06-2023,27234.27,27318.18,26675.26,26806.98,42566800175,5.22E+11
01-06-2023,27685.48,27801.93,26887.81,27225.77,43490042969,5.27E+11
31-05-2023,27745.91,28029.57,27606.93,27682.8,41446781964,5.39E+11
30-05-2023,28136.36,28414.86,27552.62,27742.37,44844223275,5.40E+11
29-05-2023,26854.22,28152.5,26789.26,28100.31,31845491761,5.29E+11
28-05-2023,26708.84,26856.33,26625.75,26850.79,33362464054,5.18E+11
27-05-2023,26473.75,26906.52,26346.46,26703.21,38658379623,5.15E+11
26-05-2023,26327.73,26545.21,25963.53,26474.02,44567095438,5.10E+11
25-05-2023,27222.41,27222.41,26114.01,26336.63,40737436097,5.16E+11
24-05-2023,26849.25,27428.93,26818.07,27222.75,40046492710,5.28E+11
23-05-2023,26747.74,27037.83,26550.6,26851.39,34482945420,5.19E+11
22-05-2023,27102.42,27243.28,26692.48,26751.47,27719241989,5.23E+11
21-05-2023,26887.36,27140.86,26830.22,27110.53,30302265352,5.22E+11
20-05-2023,26821.27,27075.81,26697.43,26866.88,41793335947,5.21E+11
19-05-2023,27402.25,27453.44,26486.01,26837.94,41573965977,5.26E+11
18-05-2023,27033.81,27454.75,26595.46,27402.68,37629253645,5.23E+11
17-05-2023,27158.66,27289.16,26891.41,27025.77,40497901164,5.24E+11
16-05-2023,26917.59,27613.4,26754.32,27192.17,37348844277,5.29E+11
15-05-2023,26785.6,27136.65,26676.47,26906.17,29639040681,5.20E+11
14-05-2023,26795.03,27001.34,26705.35,26789.06,40647617509,5.19E+11
13-05-2023,26968.6,27040.19,25954.76,26791.96,43744424344,5.13E+11
12-05-2023,27598.8,27598.8,26768.01,27002.28,44668385236,5.28E+11
11-05-2023,27629.96,28286.57,26961.57,27624.54,34700286570,5.37E+11
10-05-2023,27667.26,27793.76,27376.73,27636.66,34969252717,5.34E+11
09-05-2023,28417.98,28618.11,27302.45,27692.99,33614293269,5.41E+11
08-05-2023,28848.17,29083.71,28443.05,28443.05,40216391712,5.59E+11
07-05-2023,29505.92,29780.05,28448.22,28864.28,40344744907,5.64E+11
06-05-2023,28852.74,29644.95,28841.55,29529.67,43017299152,5.67E+11
05-05-2023,29022.13,29318.82,28699.19,28820.66,47257826843,5.61E+11
04-05-2023,28669.84,29029.98,28180.2,28998.8,41130373590,5.52E+11
03-05-2023,28067.12,28816.42,27922.17,28639.58,41539767592,5.47E+11
02-05-2023,29190.79,29327.75,27688.46,28084.46,42366560274,5.50E+11
01-05-2023,29230.49,29885.46,29096.96,29310.54,27347809353,5.68E+11
30-04-2023,29308.51,29425.02,29102.87,29216.77,35569645614,5.67E+11
29-04-2023,29472.8,29554.57,28950.85,29327.11,53508501340,5.68E+11
28-04-2023,28415.25,29871.99,28396.49,29467.27,81413627959,5.64E+11
27-04-2023,28297.81,29965.49,27425.67,28376.59,56297075747,5.58E+11
26-04-2023,27521.63,28355.86,27228.11,28326.83,39732646598,5.33E+11
25-04-2023,27589.73,27967.05,27121.8,27529.2,35895796357,5.32E+11
24-04-2023,27818.83,27818.83,27400.17,27588.57,30210186537,5.33E+11
23-04-2023,27262.87,27853.24,27177.26,27820.65,47864133704,5.31E+11
22-04-2023,28240.35,28350.29,27219.2,27274.5,49218915740,5.41E+11
21-04-2023,28809.24,29049.45,28045.06,28267.17,53219109539,5.55E+11
20-04-2023,30380.05,30388.94,28688.75,28804.98,48529605626,5.72E+11
19-04-2023,29449.25,30433.47,29199.07,30366.57,39843195656,5.79E+11
18-04-2023,30307.41507,30307.818,29300.46929,29413.96,34544991066,5.75E+11
17-04-2023,30295.10993,30527.17137,30168.22514,30304.87458,23471438594,5.86E+11
16-04-2023,30467.8083,30516.7957,30248.08281,30297.83114,36823809590,5.88E+11
15-04-2023,30380.7126,30955.8686,30031.6626,30478.2924,48071259454,5.92E+11
14-04-2023,29883.2295,30503.8516,29859.8417,30359.5812,42898213070,5.84E+11
13-04-2023,30203.7818,30430.8475,29765.2501,29877.41774,44412758279,5.80E+11
12-04-2023,29661.4333,30442.47423,29594.4637,30230.0732,52751133604,5.82E+11
11-04-2023,28323.77217,29733.0392,28201.6388,29609.8284,32725716693,5.53E+11
10-04-2023,27938.3767,28477.6188,27816.61309,28321.8616,22993951733,5.42E+11
09-04-2023,27909.609,28144.54684,27859.966,27934.0372,23392038628,5.41E+11
08-04-2023,28033.8221,28097.962,27814.97206,27902.2577,28396556743,5.40E+11
07-04-2023,28174.1065,28174.1065,27763.8743,28019.7398,35275760576,5.42E+11
06-04-2023,28161.7377,28681.0547,27893.4447,28176.3891,36576587883,5.48E+11
05-04-2023,27807.76834,28405.3989,27695.2783,28149.6814,41025798293,5.43E+11
04-04-2023,28170.7772,28427.7346,27405.98121,27761.45867,36019258149,5.41E+11
03-04-2023,28452.74021,28515.9436,27879.0548,28188.1801,26115369180,5.47E+11
02-04-2023,28467.88285,28789.4078,28305.2465,28464.81402,36557108999,5.50E+11
01-04-2023,28028.48413,28614.0378,27663.05039,28467.19663,45077223851,5.45E+11
31-03-2023,28348.5437,29156.3807,27774.748,28031.5952,46258179086,5.49E+11
30-03-2023,27266.6718,28586.0011,27252.7029,28370.7692,42482154098,5.43E+11
29-03-2023,27131.2072,27446.1624,26676.9503,27259.2207,43061233764,5.22E+11
28-03-2023,27970.49883,28016.6155,26698.4797,27157.5701,34642356203,5.32E+11
27-03-2023,27493.601,28139.20798,27430.9137,27983.58903,27111362646,5.37E+11
26-03-2023,27450.90702,27747.3921,27183.6656,27464.6126,42315985685,5.31E+11
25-03-2023,28296.5687,28356.28282,27110.4536,27415.93409,48378495417,5.40E+11
24-03-2023,27261.75281,28619.4139,27156.7906,28318.2186,59835056100,5.36E+11
23-03-2023,28123.81235,28706.6413,26718.214,27273.8081,62381365931,5.41E+11
22-03-2023,27723.8116,28399.7677,27344.4061,28119.54921,75753121152,5.39E+11
21-03-2023,27960.5165,28431.5567,27167.99497,27688.0737,81159326336,5.38E+11
20-03-2023,26900.8707,28330.03813,26849.0627,27911.812,59951376540,5.30E+11
19-03-2023,27388.766,27635.6631,26820.13702,26891.62797,87183454009,5.28E+11
18-03-2023,24998.6655,27710.0166,24899.2568,27310.1766,84113368149,5.08E+11
17-03-2023,24286.70022,25107.0673,24182.3388,25011.182,92591547938,4.76E+11
16-03-2023,24694.4961,25026.9871,23970.29721,24276.66589,97610468466,4.75E+11
15-03-2023,24110.2102,26263.9676,24013.12302,24694.6951,94466753002,4.78E+11
14-03-2023,21996.35382,24342.77464,21828.19362,24063.56245,81743296620,4.44E+11
